book_title, book_reference, author_names, avg_rating, num_ratings, year_published 
Six Pillars of Self-Esteem (Paperback),/book/show/79352.Six_Pillars_of_Self_Esteem,Nathaniel Branden,4.17,6592,1994
The Charisma Myth: How Anyone Can Master the Art and Science of Personal Magnetism (Hardcover),/book/show/11910905-the-charisma-myth,Olivia Fox Cabane,3.96,12681,2012
A Mind for Numbers: How to Excel at Math and Science (Even If You Flunked Algebra),/book/show/18693655-a-mind-for-numbers,Barbara Oakley,4.25,12867,2014
Unlimited Power: The New Science Of Personal Achievement (Paperback),/book/show/8676.Unlimited_Power,Anthony Robbins,4.23,29328,1986
The Art of War (Paperback),/book/show/10534.The_Art_of_War,Sun Tzu,3.97,324991,-500
Goodbye; Things: The New Japanese Minimalism (Hardcover),/book/show/30231806-goodbye-things,Fumio Sasaki,3.81,22574,2015
Adulting: How to Become a Grown-up in 468 Easy(ish) Steps,/book/show/15791144-adulting,Kelly Williams Brown,3.73,11797,2013
Happier at Home: Kiss More; Jump More; Abandon a Project; Read Samuel Johnson; and My Other Experiments in the Practice of Everyday Life (Audiobook),/book/show/13414599-happier-at-home,Gretchen Rubin,3.53,16357,2012
What to Say When You Talk to Yourself (Paperback),/book/show/321982.What_to_Say_When_You_Talk_to_Yourself,Shad Helmstetter,4.18,11745,1986
The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom (Paperback),/book/show/96884.The_Happiness_Hypothesis,Jonathan Haidt,4.12,24995,2005
Willpower: Rediscovering the Greatest Human Strength (Hardcover),/book/show/11104933-willpower,Roy F. Baumeister,3.97,17090,2011
The Bullet Journal Method: Track the Past; Order the Present; Design the Future (Kindle Edition),/book/show/39071691-the-bullet-journal-method,Ryder Carroll,4.06,14583,2018
Loving What Is: Four Questions That Can Change Your Life (Paperback),/book/show/9762.Loving_What_Is,Byron Katie,4.12,17969,2002
The Happiness Trap: How to Stop Struggling and Start Living: A Guide to ACT (Paperback),/book/show/3250347-the-happiness-trap,Russ Harris,4.13,7797,2007
David and Goliath: Underdogs; Misfits; and the Art of Battling Giants (Hardcover),/book/show/15751404-david-and-goliath,Malcolm Gladwell,3.95,146634,2013
The Greatest Salesman in the World (Paperback),/book/show/356896.The_Greatest_Salesman_in_the_World,Og Mandino,4.21,51999,1968
Extreme Ownership: How U.S. Navy SEALs Lead and Win (Hardcover),/book/show/23848190-extreme-ownership,Jocko Willink,4.28,38170,2015
The Mastery of Love: A Practical Guide to the Art of Relationship --Toltec Wisdom Book (Hardcover),/book/show/81939.The_Mastery_of_Love,Miguel Ruiz,4.27,36222,1999
The Introvert Advantage: How to Thrive in an Extrovert World (Paperback),/book/show/49322.The_Introvert_Advantage,Marti Olsen Laney,3.88,15532,2002
How to Fail at Almost Everything and Still Win Big: Kind of the Story of My Life (Hardcover),/book/show/17859574-how-to-fail-at-almost-everything-and-still-win-big,Scott Adams,4.11,13265,2013
Predictably Irrational: The Hidden Forces That Shape Our Decisions (Hardcover),/book/show/1713426.Predictably_Irrational,Dan Ariely,4.13,99565,2008
The Antidote: Happiness for People Who Can't Stand Positive Thinking (ebook),/book/show/13721709-the-antidote,Oliver Burkeman,4.07,9843,2012
What Color Is Your Parachute? A Practical Manual for Job-Hunters and Career-Changers (Paperback),/book/show/6932.What_Color_Is_Your_Parachute_A_Practical_Manual_for_Job_Hunters_and_Career_Changers,Richard Nelson Bolles,3.71,12185,1970
The Book of Joy: Lasting Happiness in a Changing World (Hardcover),/book/show/29496453-the-book-of-joy,Dalai Lama XIV,4.37,33333,2016
Principles: Life and Work (Audio CD),/book/show/34536488-principles,Ray Dalio,4.13,30575,2011
Peak: Secrets from the New Science of Expertise (ebook),/book/show/26312997-peak,K. Anders Ericsson,4.28,10762,2016
Notes on a Nervous Planet (Paperback),/book/show/40404801-notes-on-a-nervous-planet,Matt Haig,4.05,24414,2018
The Year of Less: How I Stopped Shopping; Gave Away My Belongings; and Discovered Life Is Worth More Than Anything You Can Buy in a Store (Hardcover),/book/show/35488858-the-year-of-less,Cait Flanders,3.5,26990,2018
The Talent Code: Unlocking the Secret of Skill in Sports; Art; Music; Math; and Just About Everything Else (Audio CD),/book/show/5771014-the-talent-code,Daniel Coyle,4.08,18765,2009
Act Like a Lady; Think Like a Man: What Men Really Think About Love; Relationships; Intimacy; and Commitment (Hardcover),/book/show/6023056-act-like-a-lady-think-like-a-man,Steve  Harvey,3.81,40938,2009
The Power (The Secret; #2),/book/show/8579016-the-power,Rhonda Byrne,4.1,24461,2009
The Art of Learning: A Journey in the Pursuit of Excellence (Hardcover),/book/show/857333.The_Art_of_Learning,Josh Waitzkin,4.09,14581,2007
Getting to Yes: Negotiating Agreement Without Giving In (Paperback),/book/show/313605.Getting_to_Yes,Roger Fisher,3.94,59698,1981
Present Over Perfect: Leaving Behind Frantic for a Simpler; More Soulful Way of Living (Hardcover),/book/show/27840585-present-over-perfect,Shauna Niequist,3.84,42404,2016
Ikigai: Los secretos de Jap\xc3\xb3n para una vida larga y feliz (Paperback),/book/show/28787203-ikigai,Hector Garcia Puigcerver,3.65,25546,2016
Peace Is Every Step: The Path of Mindfulness in Everyday Life (Paperback),/book/show/14572.Peace_Is_Every_Step,Thich Nhat Hanh,4.32,28233,1990
Toxic Parents: Overcoming Their Hurtful Legacy and Reclaiming Your Life (Paperback),/book/show/103999.Toxic_Parents,Susan Forward,4.16,9920,1989
The Art of Thinking Clearly (Hardcover),/book/show/16248196-the-art-of-thinking-clearly,Rolf Dobelli,3.86,22514,2011
The 80/20 Principle: The Secret to Achieving More with Less (Paperback),/book/show/181206.The_80_20_Principle,Richard Koch,4.02,20003,1998
Presence: Bringing Your Boldest Self to Your Biggest Challenges (Hardcover),/book/show/25066556-presence,Amy Cuddy,3.94,12754,2015
Give and Take: A Revolutionary Approach to Success (Hardcover),/book/show/16158498-give-and-take,Adam M. Grant,4.1,23147,2013
The 5 AM Club: Own Your Morning. Elevate Your Life (ebook),/book/show/37502596-the-5-am-club,Robin S. Sharma,3.83,16330,2018
Nudge: Improving Decisions About Health; Wealth; and Happiness (Paperback),/book/show/3450744-nudge,Richard H. Thaler,3.84,61213,2008
When: The Scientific Secrets of Perfect Timing (Hardcover),/book/show/35412097-when,Daniel H. Pink,3.8,19847,2018
No Excuses!: The Power of Self-Discipline (Paperback),/book/show/8112865-no-excuses,Brian Tracy,4.08,8875,2010
The Productivity Project: Accomplishing More by Managing Your Time; Attention; and Energy (Hardcover),/book/show/25733994-the-productivity-project,Chris   Bailey,4.03,5474,2016
